Category: All categories

Week,Chills: (United States),Diarrhea: (United States),Nausea: (United States),Cough: (United States),"""soccer"": (United States)"
2021-05-30,2,16,10,16,42
2021-06-06,2,17,10,16,56
2021-06-13,2,17,11,16,62
2021-06-20,2,17,11,16,52
2021-06-27,2,17,10,17,56
2021-07-04,2,20,11,18,58
2021-07-11,2,18,11,18,69
2021-07-18,2,18,11,19,75
2021-07-25,2,19,11,19,100
2021-08-01,2,18,11,20,93
2021-08-08,2,18,12,20,42
2021-08-15,2,18,11,21,44
2021-08-22,2,19,11,22,47
2021-08-29,2,18,11,21,56
2021-09-05,2,18,11,23,67
2021-09-12,2,17,11,22,56
2021-09-19,2,16,11,21,48
2021-09-26,2,16,11,22,49
2021-10-03,2,16,10,21,55
2021-10-10,2,16,11,22,59
2021-10-17,2,16,10,22,49
2021-10-24,2,15,10,22,52
2021-10-31,2,15,10,23,49
2021-11-07,2,15,11,26,60
2021-11-14,2,16,11,25,57
2021-11-21,2,15,10,24,38
2021-11-28,2,16,11,27,39
2021-12-05,2,16,11,26,38
2021-12-12,2,16,11,26,31
2021-12-19,4,18,12,32,24
2021-12-26,5,20,13,39,22
2022-01-02,4,20,14,41,28
2022-01-09,4,18,13,34,30
2022-01-16,3,16,12,27,29
2022-01-23,2,16,11,24,37
2022-01-30,2,16,12,21,48
2022-02-06,2,16,12,20,38
2022-02-13,2,16,11,17,38
2022-02-20,2,17,11,17,41
2022-02-27,2,16,11,17,44
2022-03-06,2,17,11,19,43
2022-03-13,2,17,12,19,39
2022-03-20,2,18,11,20,54
2022-03-27,2,17,11,19,63
2022-04-03,2,17,11,20,46
2022-04-10,2,17,11,21,42
2022-04-17,2,17,10,21,41
2022-04-24,2,17,11,21,47
2022-05-01,2,16,11,22,44
2022-05-08,2,17,11,23,44
2022-05-15,2,17,12,25,45
2022-05-22,2,18,11,24,45
2022-05-29,2,18,12,24,49
