Category: All categories

Week,Vomiting: (United States),Sore throat: (United States),Headache: (United States),Sneeze: (United States),"""soccer"": (United States)"
2021-05-30,13,7,16,4,42
2021-06-06,15,7,16,3,54
2021-06-13,15,7,16,3,62
2021-06-20,15,7,16,3,50
2021-06-27,16,7,16,3,57
2021-07-04,16,8,16,4,58
2021-07-11,16,8,17,3,67
2021-07-18,16,8,18,4,74
2021-07-25,15,9,18,4,100
2021-08-01,12,9,19,4,88
2021-08-08,13,9,19,4,40
2021-08-15,14,10,19,4,43
2021-08-22,15,10,20,4,49
2021-08-29,14,10,18,4,55
2021-09-05,14,11,19,4,67
2021-09-12,14,10,18,4,54
2021-09-19,15,10,17,4,51
2021-09-26,15,10,18,4,48
2021-10-03,14,10,17,4,55
2021-10-10,15,9,18,4,62
2021-10-17,15,10,17,4,49
2021-10-24,15,9,17,3,51
2021-10-31,15,10,16,4,49
2021-11-07,15,10,18,4,59
2021-11-14,15,10,18,4,52
2021-11-21,15,10,16,4,38
2021-11-28,16,11,18,4,39
2021-12-05,16,9,18,4,39
2021-12-12,16,11,18,4,31
2021-12-19,18,16,20,5,23
2021-12-26,20,21,25,5,21
2022-01-02,18,19,26,6,27
2022-01-09,18,17,25,5,30
2022-01-16,16,13,21,4,28
2022-01-23,16,10,20,4,37
2022-01-30,16,8,18,4,47
2022-02-06,18,8,19,4,36
2022-02-13,17,7,17,4,37
2022-02-20,17,7,17,4,38
2022-02-27,16,8,18,4,42
2022-03-06,17,8,17,4,41
2022-03-13,16,8,16,4,40
2022-03-20,15,9,17,4,54
2022-03-27,14,8,15,4,63
2022-04-03,14,8,17,4,46
2022-04-10,15,8,17,4,41
2022-04-17,17,9,17,4,41
2022-04-24,15,9,16,4,47
2022-05-01,11,9,17,4,43
2022-05-08,11,10,16,4,42
2022-05-15,11,11,17,4,46
2022-05-22,11,11,18,4,45
2022-05-29,12,11,18,4,47
